Current Official Name of Satellite,Country of Operator/Owner,Users,Purpose,Class of Orbit,Perigee (km),Apogee (km),Launch Mass (kg.),Date of Launch,Expected Lifetime (yrs.),Satellite Status,Risk Cluster
Starlink-2352 ,USA,Commercial,Communications,LEO,548.0,561.0,260.0,2021-03-14,4.0,Inactive (Archaeology),High Risk
Starlink-2353 ,USA,Commercial,Communications,LEO,548.0,561.0,260.0,2021-03-14,4.0,Inactive (Archaeology),High Risk
Starlink-2354 ,USA,Commercial,Communications,LEO,548.0,561.0,260.0,2021-03-14,4.0,Inactive (Archaeology),High Risk
Starlink-2355 ,USA,Commercial,Communications,LEO,548.0,561.0,260.0,2021-03-14,4.0,Inactive (Archaeology),High Risk
Starlink-2356 ,USA,Commercial,Communications,LEO,548.0,561.0,260.0,2021-03-14,4.0,Inactive (Archaeology),High Risk
Starlink-2357 ,USA,Commercial,Communications,LEO,548.0,561.0,260.0,2021-03-14,4.0,Inactive (Archaeology),High Risk
Starlink-2358 ,USA,Commercial,Communications,LEO,548.0,561.0,260.0,2021-03-14,4.0,Inactive (Archaeology),High Risk
Starlink-2359 ,USA,Commercial,Communications,LEO,548.0,561.0,260.0,2021-03-14,4.0,Inactive (Archaeology),High Risk
Starlink-2360 ,USA,Commercial,Communications,LEO,548.0,561.0,260.0,2021-03-14,4.0,Inactive (Archaeology),High Risk
Starlink-2361 ,USA,Commercial,Communications,LEO,548.0,561.0,260.0,2021-03-14,4.0,Inactive (Archaeology),High Risk
Starlink-2362 ,USA,Commercial,Communications,LEO,548.0,561.0,260.0,2021-03-14,4.0,Inactive (Archaeology),High Risk
Starlink-2363 ,USA,Commercial,Communications,LEO,548.0,561.0,260.0,2021-03-14,4.0,Inactive (Archaeology),High Risk
Starlink-2364 ,USA,Commercial,Communications,LEO,548.0,561.0,260.0,2021-03-14,4.0,Inactive (Archaeology),High Risk
Starlink-2365 ,USA,Commercial,Communications,LEO,548.0,561.0,260.0,2021-03-14,4.0,Inactive (Archaeology),High Risk
Starlink-2366 ,USA,Commercial,Communications,LEO,548.0,561.0,260.0,2021-03-14,4.0,Inactive (Archaeology),High Risk
Starlink-2367 ,USA,Commercial,Communications,LEO,548.0,561.0,260.0,2021-03-14,4.0,Inactive (Archaeology),High Risk
Starlink-2368 ,USA,Commercial,Communications,LEO,548.0,561.0,260.0,2021-03-14,4.0,Inactive (Archaeology),High Risk
Starlink-2369 ,USA,Commercial,Communications,LEO,548.0,561.0,260.0,2021-03-14,4.0,Inactive (Archaeology),High Risk
Starlink-2370 ,USA,Commercial,Communications,LEO,548.0,561.0,260.0,2021-03-14,4.0,Inactive (Archaeology),High Risk
Starlink-2371 ,USA,Commercial,Communications,LEO,548.0,561.0,260.0,2021-03-14,4.0,Inactive (Archaeology),High Risk
Starlink-2372 ,USA,Commercial,Communications,LEO,548.0,561.0,260.0,2021-03-14,4.0,Inactive (Archaeology),High Risk
Starlink-2373 ,USA,Commercial,Communications,LEO,548.0,561.0,260.0,2021-03-11,4.0,Inactive (Archaeology),High Risk
Starlink-2374 ,USA,Commercial,Communications,LEO,548.0,561.0,260.0,2021-03-14,4.0,Inactive (Archaeology),High Risk
Starlink-2375 ,USA,Commercial,Communications,LEO,548.0,561.0,260.0,2021-03-14,4.0,Inactive (Archaeology),High Risk
Starlink-2376 ,USA,Commercial,Communications,LEO,548.0,561.0,260.0,2021-03-14,4.0,Inactive (Archaeology),High Risk
Starlink-2377 ,USA,Commercial,Communications,LEO,548.0,561.0,260.0,2021-03-11,4.0,Inactive (Archaeology),High Risk
Starlink-2378 ,USA,Commercial,Communications,LEO,548.0,561.0,260.0,2021-03-14,4.0,Inactive (Archaeology),High Risk
Starlink-2379 ,USA,Commercial,Communications,LEO,548.0,561.0,260.0,2021-03-11,4.0,Inactive (Archaeology),High Risk
Starlink-2380 ,USA,Commercial,Communications,LEO,548.0,561.0,260.0,2021-03-11,4.0,Inactive (Archaeology),High Risk
Starlink-2381 ,USA,Commercial,Communications,LEO,548.0,561.0,260.0,2021-03-11,4.0,Inactive (Archaeology),High Risk
Starlink-2382 ,USA,Commercial,Communications,LEO,548.0,561.0,260.0,2021-03-11,4.0,Inactive (Archaeology),High Risk
Starlink-2383 ,USA,Commercial,Communications,LEO,548.0,561.0,260.0,2021-03-11,4.0,Inactive (Archaeology),High Risk
Starlink-2384 ,USA,Commercial,Communications,LEO,548.0,561.0,260.0,2021-03-11,4.0,Inactive (Archaeology),High Risk
Starlink-2385 ,USA,Commercial,Communications,LEO,548.0,561.0,260.0,2021-03-11,4.0,Inactive (Archaeology),High Risk
Starlink-2386 ,USA,Commercial,Communications,LEO,548.0,561.0,260.0,2021-03-11,4.0,Inactive (Archaeology),High Risk
Starlink-2387 ,USA,Commercial,Communications,LEO,548.0,561.0,260.0,2021-03-11,4.0,Inactive (Archaeology),High Risk
Starlink-2388 ,USA,Commercial,Communications,LEO,548.0,561.0,260.0,2021-03-11,4.0,Inactive (Archaeology),High Risk
Starlink-2389 ,USA,Commercial,Communications,LEO,548.0,561.0,260.0,2021-03-11,4.0,Inactive (Archaeology),High Risk
Starlink-2390 ,USA,Commercial,Communications,LEO,548.0,561.0,260.0,2021-03-11,4.0,Inactive (Archaeology),High Risk
Starlink-2391 ,USA,Commercial,Communications,LEO,548.0,561.0,260.0,2021-03-11,4.0,Inactive (Archaeology),High Risk
Starlink-2392 ,USA,Commercial,Communications,LEO,548.0,561.0,260.0,2021-03-11,4.0,Inactive (Archaeology),High Risk
Starlink-2393 ,USA,Commercial,Communications,LEO,548.0,561.0,260.0,2021-03-11,4.0,Inactive (Archaeology),High Risk
Starlink-2394 ,USA,Commercial,Communications,LEO,548.0,561.0,260.0,2021-03-11,4.0,Inactive (Archaeology),High Risk
Starlink-2395 ,USA,Commercial,Communications,LEO,548.0,561.0,260.0,2021-03-11,4.0,Inactive (Archaeology),High Risk
Starlink-2396 ,USA,Commercial,Communications,LEO,548.0,561.0,260.0,2021-03-11,4.0,Inactive (Archaeology),High Risk
Starlink-2397 ,USA,Commercial,Communications,LEO,548.0,561.0,260.0,2021-03-14,4.0,Inactive (Archaeology),High Risk
Starlink-2398 ,USA,Commercial,Communications,LEO,548.0,561.0,260.0,2021-03-14,4.0,Inactive (Archaeology),High Risk
Starlink-2399 ,USA,Commercial,Communications,LEO,548.0,561.0,260.0,2021-03-11,4.0,Inactive (Archaeology),High Risk
